Sno,Items,Description,Price(in AED),Image url
45,Banana Caramel Pudding,"Gino's homemade pudding with caramelised banana, custard cream, and banana caramel sauce",28,https://images.deliveryhero.io/image/talabat/Menuitems/9ED6322AE9653B4860F268094F1B318C?width=172&amp;height=172
46,Arwa Water (500ml),,5,https://images.deliveryhero.io/image/talabat/Menuitems/6D50DFCE9C1AC7F54AB6309F69646658?width=172&amp;height=172
47,Coca Cola (250ml),250ml,9,https://images.deliveryhero.io/image/talabat/Menuitems/018B57901EEE37D5710BDBC5C67CADBF?width=172&amp;height=172
48,Coke Zero (250ml),250ml bottle,9,https://images.deliveryhero.io/image/talabat/Menuitems/ED824B8B3B336DA84682452642F1BB58?width=172&amp;height=172
49,Sprite (250ml),250ml bottle,9,https://images.deliveryhero.io/image/talabat/Menuitems/6A7BE630FA9BFA8A66CF789753CF35FE?width=172&amp;height=172
50,Fanta (250ml),250ml bottle,9,https://images.deliveryhero.io/image/talabat/Menuitems/709BC7CD76DB80270EB26F0BF793CE18?width=172&amp;height=172
,,,,
0,Nonna's Meal for 1,"Any Appetiser, Any Pasta, Any Soft Drink",65,https://images.deliveryhero.io/image/talabat/Menuitems/A978DF4B0B3010DD2DC990A758CF3DA9?width=172&amp;height=172
1,Nonna's Meal for 2,"Any 2 Appetisers, any 2 Pasta's and 2 Soft Drinks!",125,https://images.deliveryhero.io/image/talabat/Menuitems/E027EE31FA1D1EE5601A8FD4D8A562ED?width=172&amp;height=172
2,Pasta Party Pack - Any 4 pasta's,Choose any 4 pastas from our menu!,149,https://images.deliveryhero.io/image/talabat/Menuitems/643F8604BDDE799B008A2F243FFB1EC5?width=172&amp;height=172
3,Nonna's Chicken Strips,"Tender, crispy and delicious - thats how Mamma makes them! Served with BBQ Sauce (4 strips)",29,https://images.deliveryhero.io/image/talabat/Menuitems/2AB03F62823E1D36019BAE958FF0757C?width=172&amp;height=172
4,Chili Cheese Bites,"Breaded, crispy, (slightly) chili cheesy bites with a soft centre. Served with a homemade garlic & herb dip",29,https://images.deliveryhero.io/image/talabat/Menuitems/883A86F2C8ADB637DC31C0FF7AF3ABB2?width=172&amp;height=172
5,Nonna's Sweet Potato Fries,Perfectly crunchy sweet potato fries with a sweet chili dip,23,https://images.deliveryhero.io/image/talabat/Menuitems/2ECD686CD342B11621A64B85A0CF6C47?width=172&amp;height=172
6,Homemade Garlic Bread & Mozzarella,"Homemade freshly baked bread with fresh garlic and EVOO, topped with our creamy mozzarella",25,https://images.deliveryhero.io/image/talabat/Menuitems/94934064ACCEE0EF10A59188F6CB27DC?width=172&amp;height=172
